Performance Comparison Report
========================================
[MongoDB] User: 7d152f1f-7520-433d-84e2-143261935c5c, Likes: 2, Bookmarks: 2, Total Duration: 21.7737s
[MongoDB] User: 919cf7ec-df26-4afe-8b88-915d07f7f651, Likes: 1, Bookmarks: 1, Total Duration: 23.8765s
[MongoDB] User: 46106f72-ad8c-4233-96b5-e3110e00c6c1, Likes: 2, Bookmarks: 2, Total Duration: 26.0760s
[MongoDB] User: 140cda5a-767d-4c23-83ed-d4cde565e74f, Likes: 1, Bookmarks: 1, Total Duration: 28.3719s
[MongoDB] User: d397c260-96bb-4170-8af2-7a47743290ca, Likes: 1, Bookmarks: 1, Total Duration: 30.7655s
[MongoDB] User: bee841d9-0568-4237-aaed-7bca5898b69b, Likes: 2, Bookmarks: 2, Total Duration: 33.2565s
[MongoDB] User: d4733f51-f9ef-4da0-bab5-71bbcb2f1351, Likes: 1, Bookmarks: 1, Total Duration: 35.8457s
[MongoDB] User: f5a5527f-5a1f-46ca-af5b-f407d36fd1fe, Likes: 1, Bookmarks: 1, Total Duration: 38.5325s
[MongoDB] User: 6a478721-cc3e-45bd-a5c2-894c31855497, Likes: 2, Bookmarks: 2, Total Duration: 41.3186s
[MongoDB] User: a6e928b2-16e8-4cf2-9109-9aa5b53388e3, Likes: 3, Bookmarks: 3, Total Duration: 44.2027s
[MongoDB] User: 5764db42-e298-4e17-8515-1b3eafce35cf, Likes: 3, Bookmarks: 3, Total Duration: 47.1850s
[MongoDB] User: 1cf94581-ab09-4c21-9d53-dd1d4f7c938d, Likes: 1, Bookmarks: 1, Total Duration: 50.2662s
[MongoDB] User: 2590be30-d078-4cb6-a572-2089d04742e6, Likes: 2, Bookmarks: 2, Total Duration: 53.4451s
[MongoDB] User: 3a65043c-3468-4563-be33-5f41be5b3b7e, Likes: 2, Bookmarks: 2, Total Duration: 56.7236s
[MongoDB] User: 177225b2-ac8a-4210-a66c-71d5ba576a25, Likes: 3, Bookmarks: 3, Total Duration: 60.1002s
[MongoDB] User: 8830f08a-41fd-411e-a3b8-69cce00d7da1, Likes: 3, Bookmarks: 3, Total Duration: 63.5765s
[MongoDB] User: d7940e06-3dd5-4e05-8cf2-e49be708c266, Likes: 2, Bookmarks: 2, Total Duration: 67.1520s
[MongoDB] User: b05e8f7b-aa05-429b-8b8a-1430f4b9b7c2, Likes: 3, Bookmarks: 3, Total Duration: 70.8264s
[MongoDB] User: f706f6e6-1997-411f-af7c-71ede726a190, Likes: 4, Bookmarks: 4, Total Duration: 74.5998s
[MongoDB] User: 92948554-7958-4375-9e1e-7be4d2b06eff, Likes: 1, Bookmarks: 1, Total Duration: 78.4710s
[MongoDB] User: 1fd0d84a-5eed-4b9a-b6f2-2c6f93f079fa, Likes: 1, Bookmarks: 1, Total Duration: 82.4449s
[MongoDB] User: 10e755e7-2fbb-405c-9361-457644092df3, Likes: 1, Bookmarks: 1, Total Duration: 86.5441s
[MongoDB] User: bf171fbd-20fc-4689-babf-eb4149abdc60, Likes: 5, Bookmarks: 5, Total Duration: 90.7425s
[MongoDB] User: 769f21e7-6b82-482d-94dc-b439a1e58b58, Likes: 2, Bookmarks: 2, Total Duration: 95.0413s
[MongoDB] User: 339f8a68-23b7-4a76-87b8-7b63ebc5512a, Likes: 3, Bookmarks: 3, Total Duration: 99.4445s
[MongoDB] User: 760543e0-0bd4-4991-9b7c-81653fdc0e43, Likes: 2, Bookmarks: 2, Total Duration: 103.9554s
[MongoDB] User: 1ead9497-c361-44c2-8f7e-ba538d04e6d1, Likes: 1, Bookmarks: 1, Total Duration: 108.5676s
[MongoDB] User: 42d0881c-e5d4-41f9-98f3-bf5177126113, Likes: 1, Bookmarks: 1, Total Duration: 113.2819s
[MongoDB] User: 268aa999-f960-450d-bb73-f3ec4538fa7a, Likes: 5, Bookmarks: 5, Total Duration: 118.1009s
[MongoDB] User: aedc9a2d-ccfd-4979-8729-6ec66a9550f9, Likes: 2, Bookmarks: 2, Total Duration: 123.0216s
[MongoDB] User: 657e7ca9-6bb0-46fa-9d26-eba49fe9c905, Likes: 1, Bookmarks: 1, Total Duration: 128.0427s
[MongoDB] User: d123a5a8-180d-405c-87c5-73235257b1e1, Likes: 2, Bookmarks: 2, Total Duration: 133.1638s
[MongoDB] User: 2cac798f-bf71-40fb-840e-7c24f4c19d15, Likes: 2, Bookmarks: 2, Total Duration: 138.3856s
[MongoDB] User: deb7fb5a-0b03-4b41-ad43-07f8ad9ea2bc, Likes: 1, Bookmarks: 1, Total Duration: 143.7069s
[MongoDB] User: aa8f41c1-7a9d-43a9-91ac-dd8e27fcfb8d, Likes: 1, Bookmarks: 1, Total Duration: 149.1286s
[MongoDB] User: a8164f31-c029-4725-b70e-4c48eb8ca5ae, Likes: 2, Bookmarks: 2, Total Duration: 154.6497s
[MongoDB] User: e26fd4e6-7686-455b-a465-9dc2e5b7fdf1, Likes: 2, Bookmarks: 2, Total Duration: 160.2715s
[MongoDB] User: 3e0861f0-4152-44d0-8e49-f61ce3e92273, Likes: 3, Bookmarks: 3, Total Duration: 165.9930s
[MongoDB] User: 2d7c9553-2b6e-4a32-9252-8f02af03516f, Likes: 4, Bookmarks: 4, Total Duration: 171.8138s
[MongoDB] User: c2bcfc73-ebf7-45c3-aac3-ca6dd8ece4c0, Likes: 1, Bookmarks: 1, Total Duration: 177.7347s
[MongoDB] User: 4295f6f6-a067-476d-bc15-35dafa690f95, Likes: 1, Bookmarks: 1, Total Duration: 183.7551s
[MongoDB] User: 943837c9-a20a-4ca3-b8eb-62f3cc7f59d4, Likes: 3, Bookmarks: 3, Total Duration: 189.8757s
[MongoDB] User: 1a832249-db00-44d0-8bd7-db55bc162097, Likes: 3, Bookmarks: 3, Total Duration: 196.0952s
[MongoDB] User: e0e26de3-1504-4226-b422-8202281d6bc9, Likes: 2, Bookmarks: 2, Total Duration: 202.4141s
[MongoDB] User: 86bf0bb1-d2a5-45fb-85fe-0c44fa241341, Likes: 1, Bookmarks: 1, Total Duration: 208.8322s
[MongoDB] User: 903c11aa-1ce4-4098-8d5c-83bcba5f4056, Likes: 1, Bookmarks: 1, Total Duration: 215.3486s
[MongoDB] User: 753fa49f-7c12-4ffb-88cd-51a982b45755, Likes: 2, Bookmarks: 2, Total Duration: 221.9641s
[MongoDB] User: 11347944-31f0-4340-ab92-7373fa779749, Likes: 1, Bookmarks: 1, Total Duration: 228.6776s
[MongoDB] User: 35e39607-dade-4d18-b8c2-574a3f9d788d, Likes: 2, Bookmarks: 2, Total Duration: 235.4900s
[MongoDB] User: 1cb58094-7b08-4035-ae73-6feba22799b1, Likes: 2, Bookmarks: 2, Total Duration: 242.4009s
[MongoDB] User: 22b0789f-14a9-49e6-90c5-f26bb2042429, Likes: 2, Bookmarks: 2, Total Duration: 249.4117s
[MongoDB] User: 37c218c3-3123-46bb-b8e5-a8644a88f77f, Likes: 1, Bookmarks: 1, Total Duration: 256.5224s
[MongoDB] User: dc0704b8-7330-4b45-83c5-aafd1cc59d18, Likes: 3, Bookmarks: 3, Total Duration: 263.7331s
[MongoDB] User: 96708e5d-1da3-47b4-81fd-48e80ffdf9b3, Likes: 3, Bookmarks: 3, Total Duration: 271.0472s
[MongoDB] User: beed0a9d-4db2-42b3-b4c3-09c374fb13b4, Likes: 2, Bookmarks: 2, Total Duration: 278.4861s
[MongoDB] User: 339fb823-6573-4a41-8efc-b66a9fdcf96d, Likes: 3, Bookmarks: 3, Total Duration: 286.0273s
[MongoDB] User: ca0f60a9-4ac1-49f8-91aa-274294216597, Likes: 2, Bookmarks: 2, Total Duration: 293.6937s
[MongoDB] User: 5dcb8d68-7776-4cc9-92a9-d3f1b91f8d2f, Likes: 2, Bookmarks: 2, Total Duration: 301.4667s
[MongoDB] User: c3771c76-9d85-4e1a-b961-6cb462c5408e, Likes: 1, Bookmarks: 1, Total Duration: 309.3423s
[MongoDB] User: 7f90c2e5-fa8e-400b-ac78-6752db5c031f, Likes: 1, Bookmarks: 1, Total Duration: 317.3190s
[MongoDB] User: 75c2988d-86eb-4ab1-a38f-59f5cd4643f6, Likes: 3, Bookmarks: 3, Total Duration: 325.3965s
[MongoDB] User: cd193276-4385-49dc-b67f-38beea1b1888, Likes: 3, Bookmarks: 3, Total Duration: 333.5734s
[MongoDB] User: 53d743dc-5acd-4d12-8099-997d50e9dcfb, Likes: 1, Bookmarks: 1, Total Duration: 341.8530s
[MongoDB] User: ed383c46-1ef6-4a4e-842e-2cdce0e948fd, Likes: 2, Bookmarks: 2, Total Duration: 350.2392s
[MongoDB] User: e41350e4-87e4-43d1-a865-9c7f6d8d08ea, Likes: 4, Bookmarks: 4, Total Duration: 358.7313s
[MongoDB] User: 6533ce3e-f4da-479e-9c40-d5ffca06a0ae, Likes: 1, Bookmarks: 1, Total Duration: 367.3308s
